tail_number,manufacturer,model
"N580FE","McDonnell-Douglas","MD11"
"N944AX","McDonnell-Douglas","DC-9-30"
"N416CA","Canadair","RJ100/ER"
"N8506C","Canadair","RJ-200"
"N285VA","Airbus","A320"
"N753SK","Canadair","RJ-700"
"N13553","Embraer","ERJ-145LR"
"N627JB","Airbus","A320-232-PSGR"
"N469AA**","McDonnell-Douglas","SUPER80PASSENGER"
"N332WN","Boeing","737-300PASSENGERONLY"
"N183AN","Boeing","B757-223PASSENGER"
"N78004","Boeing","B777-200PAX"
"N665UA","Boeing","B767-322DRPAX"
"N522FE","McDonnell-Douglas","MD11"
"N919DL","McDonnell-Douglas","MD-88-PSGR"
"N3744H","Boeing","B737-8"
"N815DN","Boeing","737-932ER-PSGR"
"N23707","Boeing","B737-700PAX"
"N713SK","Canadair","RJ-700"
"N587NW","Boeing","B757-3"
"N422LA","Boeing","B767-346F"
"n8758d","Bombardier","CRJ200"
"N499FE","Boeing","B727-2"
"N906AR","Boeing","B-747-412SF"
"N355PU","Boeing","B737-823"
"N801AY","Canadair","RJ-200"
"N211NN","Embraer","EMB175"
"N69602","Boeing","B737-5"
"N562RP","Embraer","Embraer-145"
"N403AW","Canadair","RJ-200"
"N27190","Embraer","ERJ-145XR"
"N11EA","Bombardier","CL600-2C10PSGR"
"N964N","McDonnell-Douglas","DC9-30-PSGR"
"N8665D","Boeing","B-737-8H4"
"N7722B","Boeing","B-737-76N"
"N651JB","Airbus","A320-232-PSGR"
"N505VJ","Bombardier","BD-700-1A11PSGR"
"N362AA","Boeing","B767-323ERPASSENGER"
"N219","Boeing","737-700PASSENGERONLY"
"N934AA","Airbus","A321-231"
"N833AY","Canadair","CRJ200"
"N742MA","Boeing","B737-8"
"N615","Boeing","B737-3"
"N450ML","McDonnell-Douglas","DC-10-F"
"N318JB","Embraer","E190-100-PSGR"
"N167GJ","Canadair","RJ-700"
"n930xj","Bombardier","CRJ900"
"N909FR","Airbus","A319"
"N804TJ","Boeing","737-401"
"N702AX","Boeing","B767-2"
"N569JB","Airbus","A320-232-PSGR"
"N938FE","Cessna","CE-208B"
"N408AW","Canadair","RJ-200"
"N277","Boeing","B737-7/L"
"N12552","Embraer","ERJ-145LR"
"N969WN","Boeing","B-737-7H4"
"N870AG","Boeing","737-4YO"
"N77431","Boeing","B737-900ERPAX"
"N657AA","Boeing","B757-2"
"N512LT","GulfStream","G450"
"N914FE","Cessna","CE-208B"
"N368NW","Airbus","A320-212-PSGR"
"N809CA","Canadair","RJ100/ER"
"N226AA","McDonnell-Douglas","MD-80"
"N706TW","Boeing","B757-2"
"N57863","Boeing","B757-300PAX"
"N937WN","Boeing","B-737-7H4"
"N840AL","Boeing","B737-282C"
"N747YX","Embraer","ERJ-170-200LR"
"N620AA","Boeing","B757-200PASSENGER"
"N975TW","McDonnell-Douglas","SUPER80PASSENGER"
"N456YV","DeHavilland","DHC8-200"
"N878GA","McDonnell-Douglas","MD-83"
"N324DX","Airbus","A321-211-PSGR"
"N778FE","Cessna","CE-208B"
"N172US","Airbus","A321-211"
"N663NK","Airbus","A-321-PSGR"
"N520NK","Airbus","A319"
"N373DA","Boeing","B737-8"
"N914AW","Boeing","B757-2"
"N234NW","McDonnell-Douglas","DC-10-3"
"N808NW","Airbus","A330-PSGR"
"N706EV","Canadair","RJ-700"
"N577RP","Embraer","Embraer-145"
"N942FR","Airbus","A319-1"
"N413QX","DeHavilland","DHC8-400"
"N846VA","Airbus","A320-214"
"N283","Boeing","B737-7/L"
"N752EV","Canadair","RJ-700"
"N131HQ","Embraer","ERJ-175-200LR"
"N625CZ","Embraer","EMB175"
"N465UP","Boeing","B757-2"
"N975EV","McDonnell-Douglas","MD-88-PSGR"
"N331AZ","Boeing","767"
"N877DN","Boeing","737-900ER-PSGR"
"N179AA","Boeing","B757-223PASSENGER"
"N915FR","Airbus","A319"
"N370NB","Airbus","A319-PSGR"
"N810DN","Boeing","737-932ER-PSGR"
"N228JB","Embraer","EMB-190"
"N708BR","Canadair","RJ-200"
"N579UW","Airbus","A321-231"
"N416AW","Canadair","RJ-200"
"N285SK","Embraer","Embraer-145"
"N13538","Embraer","ERJ-145LR"
"N621NW","McDonnell-Douglas","DC-9-30"
"N977FE","Cessna","CE-208B"
"N459AA","McDonnell-Douglas","SUPER80PASSENGER"
"N881CC","DeHavilland","DASH8-1"
"N326FE","McDonnell-Douglas","DC-10-3"
"N78002","Boeing","B777-200PAX"
"N174AT","Boeing","Boeing737-700/LR"
"N665JB","Airbus","A320-232-PSGR"
"N522AU","Boeing","B737-3"
"N3743H","Boeing","B737-8"
"N236WN","Boeing","B737-7/L"
"N943LR","Bombardier","CRJ-900-PSGR"
"N849FE","Cessna","CE-208B"
"N7538A","McDonnell-Douglas","SUPER80PASSENGER"
"N134AN","Airbus","A321-231"
"N626US","Boeing","B747-2/3"
"N468AA**","McDonnell-Douglas","SUPER80PASSENGER"
"N332AA","Boeing","B767-223ERPASSENGER"
"N181UW","Airbus","A321-211"
"N918UA","Boeing","B737-5"
"N814NK","McDonnell-Douglas","MD-80"
"N713","Boeing","B737-7/L"
"N586SW","Embraer","EMB120-ER"
"N421UA","Airbus","AirbusA320-232PAX"
"N292PQ","Bombardier","CRJ-900LR-PSGR"
"N1405J","Fokker","FOKR 100"
"N983SW","Canadair","RJ-200"
"N889NN","Boeing","B737-823PASSENGER"
"N7832A","Boeing","B-737-79P"
"N6713Y","Boeing","B757-2"
"N527SW","Boeing","B-737-5H4"
"N37700","Boeing","737-832-PSGR"
"N244SY","Embraer","ERJ175"
"198US","McDonnell-Douglas","DC-915F"
"N948AT","Boeing","Boeing717-200"
"N85352","Embraer","EMB-175-PSGR"
"N757AN","Boeing","B777-200PASSENGER"
"N631AW","Airbus","A320-231"
"N991AT","Boeing","Boeing717-200"
"N477AX","Boeing","BoeingB767-3Q8ERPAX"
"N895FD","Boeing","B-777-FS2"
"N338UA","Boeing","B737-3"
"N7863A","Boeing","B-737-7Q8"
"N19136","Boeing","B757-200PAX"
"N677FE","Airbus","A300-600"
"N960N","McDonnell-Douglas","DC-9-30"
"N437WN","Boeing","B737-7/L"
"N86350","Embraer","EMB-175-PSGR"
"N308DQ","Boeing","B-737-7L"
"N769UW","Airbus","A319-1"
"N154AW","Boeing","B737-3G7"
"N646BR","Canadair","CRJ-2/4"
"N500AS","Embraer","EMB-120"
"n147pq","Bombardier","CRJ900"
"N903AA","Airbus","A321-231"
"N794FD","Boeing","B-757-200"
"N68801","Boeing","B737-900ERPAX"
"N553UA","Boeing","B757-222PAX"
"N931AE","Embraer","ERJ-145"
"N396AE","SAAB","SF-340/A"
"N8313WN","Boeing","737-800PASSENGERONLY"
"N263AE","SAAB","Saab340"
"N737","Boeing","B737-7/L"
"N1110J","Embraer","EMB-120CARGO"
"N609SK","Embraer","CRJ700-2C10"
"N444YV","DeHavilland","DHC8-200"
"N960AN","Boeing","B737-823PASSENGER"
"N313PQ","Bombardier","CRJ-900LR-PSGR"
"N8633","Boeing","737-800PASSENGERONLY"
"N161UW","Airbus","A321-211"
