tail_number,manufacturer,model
"N789SW","Boeing","B-737-7H4"
"N198UW","Airbus","A321-211"
"N681UP","Boeing","B747-1"
"N54711","Boeing","B737-700PAX"
"N390SW","Boeing","B-737-3H4"
"N258FE","Boeing","B727-2"
"N10323","Boeing","B737-300PAX"
"N956NN","Boeing","B737PASSENGER"
"N8616","Boeing","737-800PASSENGERONLY"
"N765AT","Boeing","B727-2"
"N641SW","Boeing","B-737-3H4"
"N493DN","McDonnell-Douglas","MD-82-PSGR"
"N351WQ","Bombardier","Q400"
"N206UW","Boeing","B757-2B7"
"N928EV","Bombardier","CRJ200-2B19"
"N828MH","Boeing","B767-400"
"N730YX","Embraer","ERJ-170-200LR"
"N606AA","Boeing","B757-223PASSENGER"
"N439UA","Airbus","AirbusA320-232PAX"
"N309DQ","Boeing","B-737-7L"
"N156AN","Airbus","A321-231"
"n605xj","Bombardier","CRJ200"
"N903UA","Boeing","B737-5"
"N795WN","Boeing","737-700PASSENGERONLY"
"N688GX","Boeing","B-757-2"
"N555UA","Boeing","B757-222PAX"
"N932AX","McDonnell-Douglas","DC-9-33FCARGO"
"N398CA","Canadair","RJ-700"
"N265FE","Boeing","B727-2"
"N11194","Embraer","ERJ-145XR"
"N961AN","Boeing","B737-823PASSENGER"
"N863FE","Cessna","CE-208B"
"N7702A","Boeing","B-737-7BD"
"N647AM","Boeing","B757-200PASSENGER"
"n8894a","Bombardier","CRJ200"
"N501MG","Bombardier","GlobalEXPress"
"N906XJ","Bombardier","RJ-900"
"N357NP","Boeing","B727-Cargo"
"N802DN","Boeing","737-932ER-PSGR"
"N213SW","Embraer","EMB-120"
"N69819","Boeing","B737-900ERPAX"
"N564NN","GE","CRJ900"
"N931TW","McDonnell-Douglas","SUPER80PASSENGER"
"N8317WN","Boeing","737-800PASSENGERONLY"
"N737WN","Boeing","737-700PASSENGERONLY"
"N610QX","DeHavilland","RJ-700"
"N965WN","Boeing","B-737-7H4"
"N445UP","Boeing","B757-2"
"N8676A","Boeing","B-737-8H4"
"N314NV","Airbus","A319"
"N772FD","Boeing","757-200"
"N16301","Boeing","B737-3"
"N652UA","Boeing","B767-322ERPAX"
"N507JT","Airbus","A320-232-PSGR"
"n8847a","Bombardier","CRJ200"
"N363SW","Boeing","B-737-3H4"
"N906ME","Boeing","B717-2"
"N220WN","Boeing","B737-7/L"
"N801SY","Boeing","B737-800"
"N697SW","Boeing","B-737-3T0"
"N563UA","Boeing","B757-222PAX"
"N935","Boeing","B737-7/L"
"N403WN","Boeing","B737-7/L"
"N835DN","Boeing","737-932ER-PSGR"
"N27200","Embraer","ERJ-145XR"
"N743WN","Boeing","737-700PASSENGERONLY"
"N12109","Boeing","B757-200PAX"
"N616NW","McDonnell-Douglas","DC-9-30"
"N451XJ","Saab","Saab340B"
"N965DN","McDonnell-Douglas","MD-90-PSGR"
"N320","Boeing","B737-3"
"N8670A","Boeing","B-737-8H4"
"N16961","Embraer","ERJ-145LR"
"N7727A","Boeing","B-737-76N"
"N652DL","Boeing","B757-2"
"N506NK","Airbus","A319PAX"
"N910FD","Douglas","B757-2"
"N363AA","Boeing","B767-323ERPASSENGER"
"N805UA","Airbus","AirbusA319-131PAX"
"N220CY","Boeing","B767-300SF"
"N703FE","Fairchild","FH-227"
"N571AA","McDonnell-Douglas","SUPER80PASSENGER"
"N409NV","McDonnell-Douglas","MD-83"
"N278L","GulfStream","G650"
"N834HK","Embraer","EMB-145"
"N12754","Boeing","B737-700PAX"
"N743CK","Boeing","B-747-446"
"N615WN","Boeing","737-300PASSENGERONLY"
"N971EV","McDonnell-Douglas","MD-88-PSGR"
"N451CS","GulfStream","GlobalEXPress"
"N872AS","Canadair","RJ-200"
"N319FE","McDonnell-Douglas","DC-10-30"
"N774SK","Canadair","RJ-700"
"N168US","Airbus","A321"
"N658NK","Airbus","A-321-PSGR"
"N514CA","Canadair","CRJ-2/4"
"N370FE","McDonnell-Douglas","DC-10-10"
"N228AA","McDonnell-Douglas","MD-80"
"N939AS","McDonnell-Douglas","SUPER80PASSENGER"
"N408YX","Embraer","ERJ-175-200LR"
"N841MJ","Embraer","EMB-145"
"N277WN","Boeing","B-737-7H4"
"N749FD","Airbus","A300-600"
"N125UW","Airbus","A320-214"
"N621JB","Airbus","A320-232-PSGR"
"N45905","Boeing","B787-800PAX"
"N326AT","Boeing","B737-700-psgr"
"N174AA","Boeing","B757-223PASSENGER"
"N915AT","Boeing","Boeing717-200"
"N809SK","Bombardier","RJ-900"
"N707SK","Canadair","RJ-700"
"N578UW","Airbus","A321-231"
"N415JN","McDonnell-Douglas","MD11CARGO"
"N284UP","McDonnell-Douglas","MD-11F"
"N133SY","Embraer","ERJ175"
"N976SW","Canadair","RJ-200"
"N8808H","Canadair","RJ-200"
"N779FE","Cessna","CE-208B"
"N664NK","Airbus","A-321-PSGR"
"N521NK","Airbus","A319"
"N37409","Boeing","B737-900PAX"
"N23661","Boeing","B737-5"
"N943AN","Boeing","B737-823PASSENGER"
"N848AS","Canadair","RJ-200"
"N752YX","Embraer","ERJ-170-200LR"
"N62631","Boeing","B737-500PAX"
"N983JT","Airbus","A321-231"
"N467AA","McDonnell-Douglas","SUPER80PASSENGER"
"N889FD","Boeing","B-777-FS2"
"N33209","Boeing","B737-800PAX"
"N18112","Boeing","B757-200PAX"
"N918FE","Cessna","CE-208B"
"N814AA","Boeing","B787-8"
"N712FX","Cessna","CE-208B"
"N585UA","Boeing","B757-222PAX"
"N948AN","Boeing","B737-823PASSENGER"
"N420UP","Boeing","B757-2"
"N8534Z","Boeing","B-737-8H4"
"N291SK","Embraer","Embraer-145"
"N756WN","Boeing","737-700PASSENGERONLY"
"N139DL","Boeing","B767-3"
"N631AS","ATR","ATR-72"
"N477AA**","McDonnell-Douglas","SUPER80PASSENGER"
"N982TW","McDonnell-Douglas","SUPER80PASSENGER"
"N888ES","GulfStream","IVSP"
"N782FE","Cessna","CE-208B"
"N670MC","McDonnell-Douglas","DC9-51-PSGR"
"N526UP","Boeing","B747-2/3"
"N921WN","Boeing","B-737-7H4"
"N376AN*","Boeing","B767-323ERPASSENGER"
"N819DN","Boeing","737-932ER-PSGR"
"N243LR","Bombardier","CRJ-900-PSGR"
"N718PS","GE","RJ-700"
"N593HA","Boeing","B767-33AER"
"N427NV","McDonnell-Douglas","MD-83"
"N947FR","Airbus","A319-1"
"N2S","GulfStream","G200"
"N8530W","Boeing","B-737-8H4"
"N14358","Boeing","B737-3"
"N756AS","Boeing","B737-4Q8ALLPAX"
"N630QX","Embraer","ERJ170-200LRALLPAX"
"N990AT","Boeing","Boeing717-200"
"N476","Boeing","737-700PASSENGERONLY"
"N8948B","Bombardier","CRJ200"
"N337UA","Boeing","B737-3"
"N785NC","McDonnell-Douglas","DC9-51-PSGR"
"N1902U","Airbus","AirbusA320-232"
"N676MC","McDonnell-Douglas","DC9-51-PSGR"
"N535PA","BAE","JETSTM31"
"N383UA","Boeing","B737-3"
"N921ME","Boeing","B717-2"
"N250YV","Embraer","EMB-120"
"N818UA","Airbus","AirbusA319-131PAX"
"820AA","Dassault","F-20"
"N717UW","Airbus","A319-112"
"N769US","Airbus","A319-112"
"N154AA","Airbus","A321-231"
"N646AE","Embraer","ERJ-145"
"N500AE","GE","RJ-700"
"N356NG","DeHavilland","Q400"
"N903","Boeing","B737-7/L"
"N212NN","Embraer","EMB175"
"N794CK","Boeing","B-747-222B"
"N688","Boeing","B737-3"
"N553SX","Airbus","A319"
"N931","Boeing","B737-7/L"
"N396","Boeing","B737-3"
"N8313F","Boeing","B-737-8H4"
"N2639U","Boeing","B777-300ERPAX"
"N736YX","Embraer","ERJ-170-200LR"
"N11109","Embraer","ERJ-145XR"
"N609QX","DeHavilland","RJ-700"
"N444XJ","Saab","Saab340B"
"N313NV","Airbus","A319"
"N161UP","Airbus","A300F4-622R"
"N714CK","Boeing","B747-2/3"
"N588NK","Airbus","A321PAX"
"N423AA","McDonnell-Douglas","SUPER80PASSENGER"
"N294PQ","Bombardier","CRJ-900LR-PSGR"
"N14121","Boeing","B757-200PAX"
"N985NN","Boeing","B737-823"
"N8918B","Canadair","RJ-200"
"N783UA","Boeing","B777-222BPAX"
"N183DN","Boeing","B767-3"
"N672AW","Airbus","A320-232"
"N529AU","Boeing","B737-3B7"
"N378NW","Airbus","A320-PSGR"
"N246NV","Airbus","A320"
"402NV","McDonnell-Douglas","MD-88"
"N949DL","McDonnell-Douglas","MD-88-PSGR"
"N8540V","Boeing","B-737-8H4"
"N758SK","Canadair","RJ-700"
"N632RW","Embraer","ERJ-170-100SE"
"N478UA","Airbus","AirbusA320-232PAX"
"N340NG","Bombardier","Q400"
"N193DN","Boeing","B767-3"
"N922UW","Boeing","B757-2"
"N820HK","Embraer","EMB-145"
"N720AE","Embraer","ERJ-135"
"N595SW","Canadair","CRJ100-PSGR"
"N429AA","McDonnell-Douglas","SUPER80PASSENGER"
"N301UA","Boeing","B737-3"
"N14573","Embraer","ERJ-145LR"
"N992","Boeing","717-200PASSENGERONLY"
"N896AT","Boeing","Boeing717-200"
"N786FE","Cessna","CE-208B"
"N678AN","Boeing","B757-223PASSENGER"
"N538AT","ATR","ATR-72Passenger"
"N926FE","Cessna","CE-208B"
"N384SW","Boeing","B-737-3H4"
"N825NN","Boeing","B737-823PASSENGER"
"N252NV","Airbus","A320"
"N727NY","Boeing","B727-2"
"879GA","McDonnell-Douglas","MD-83"
"N953SW","Canadair","RJ-200"
"N859DN","Boeing","737-932ER-PSGR"
"N762US","Airbus","A319-112"
"N63820","Boeing","B737-900ERPAX"
"OO-THA","Boeing","747-400F"
"N487WN","Boeing","B737-7/L"
"N9029F","Airbus","A319-115"
"N347","Boeing","B737-3"
"N792FD","Boeing","757-200"
"N202HA","Airbus","A321-200NEO"
"N685","Boeing","B737-3"
"N551","Boeing","737-700PASSENGERONLY"
"N394","Boeing","B737-3"
"N926AS","Canadair","RJ-200"
"N26123","Boeing","B757-200PAX"
"N825AA","Boeing","B787-9"
"N726SK","Canadair","RJ-700"
"N603AT","Boeing","Boeing717-200"
"N958JB","Airbus","A321-231"
"N434YV","DeHavilland","DHC8-200"
"N8627","Boeing","737-800PASSENGERONLY"
"N306GT","Boeing","B-737-400"
"N767NA","Boeing","B767-300PSGR"
"N149UP","Airbus","A300F4-622R"
"N643RW","Embraer","ERJ-170-100SE"
"N496AA","McDonnell-Douglas","SUPER80PASSENGER"
"NPHHZJ","Boeing","B737-8"
"N354","Boeing","B737-3"
"N901TW","McDonnell-Douglas","MD-80"
"N209SY","Embraer","ERJ175"
"N791UA","Boeing","B777-222BPAX"
"N68452","Boeing","B737-900ERPAX"
"N550FE","McDonnell-Douglas","DC-10-10"
"N929UA","Boeing","B737-500PAX"
"N39365","Boeing","B767-323ERPASSENGER"
"N8306WN","Boeing","737-800PASSENGERONLY"
"N260JS","GE","CRJ200"
"N732VA","Boeing","B737-300-PSGR"
"N106HQ","Embraer","ERJ-175-200LR"
"N607SK","Canadair","RJ-700"
"N441YX","Embraer","ERJ-170-200LR"
"N958AN","Boeing","B737-823PASSENGER"
"N311CG","GulfStream","V/G-V"
"N8623","Boeing","737-800PASSENGERONLY"
"N159AN","Airbus","A321-231"
"N767AJ","Boeing","B777-200PASSENGER"
"N643AA","Boeing","B757-200PASSENGER"
"n8532g","Bombardier","CRJ200"
"N495CA","Canadair","RJ-200"
"N9056R","McDonnell-Douglas","DC-6ACARGO"
"N353NB","Airbus","A319-PSGR"
"N798UA","Boeing","B777-222BPAX"
"N208WN","Boeing","B737-7/L"
"N692AA","Boeing","B757-223PASSENGER"
"N558WN","Boeing","B-737-73V"
"N401EA","McDonnell-Douglas","DC9-51-PSGR"
"N26909","Boeing","B787-800PAX"
"N11575","Embraer","EMB-145"
"N732CK","Boeing","737-405"
"N607AU","Boeing","B757-2"
"N962JT","Airbus","A321-231"
"N441AW","Canadair","RJ-200"
"N864NN","Boeing","B737-823PASSENGER"
"N310UP","Boeing","B767-3"
"N7711","Boeing","737-700PASSENGERONLY"
"N15932","Embraer","ERJ-145ER"
"N649DL","Boeing","B757-2"
"N503LX","DeHavilland","DHC8-400"
"N359UP","Boeing","767-34AF"
"N216FE","Boeing","B727-2"
"N9336","McDonnell-Douglas","DC-9-30"
"N8324","Boeing","737-800PASSENGERONLY"
"N268AK","Boeing","B737-990ERALLPAX"
"N740JM","Boeing","B-767-336PSGR"
"N11526","Embraer","ERJ135LR"
"N612WN","Boeing","737-300PASSENGERONLY"
"N447YV","DeHavilland","DHC8-200"
"N316KA","Boeing","747-451-PSGR"
"N16561","Embraer","ERJ-145LR"
"n8969a","Bombardier","CRJ200"
"N908","Boeing","737-700PASSENGERONLY"
"N803FD","Airbus","A310-300"
"N699BR","Canadair","RJ-200"
"N566NN","GE","CRJ900"
"N406","Boeing","737-700PASSENGERONLY"
"N274AA","McDonnell-Douglas","SUPER80PASSENGER"
"N12238","Boeing","B737-800PAX"
"N967FE","Cessna","CE-208B"
"N868AS","Canadair","RJ-200"
"N7734WN","Boeing","737-700PASSENGERONLY"
"N654BR","Canadair","CRJ-2/4"
"N509LX","DeHavilland","Q400"
"N365NW","Airbus","A320-212-PSGR"
"N223AG","Bombardier","CRJ700-2C10"
"N936AN","Boeing","B737-823PASSENGER"
"N837AE","Embraer","ERJ-140"
"N745FX","Cessna","CE-208B"
"N618","Boeing","B737-3"
"N973NN","Boeing","B737-823"
"N453UW","Boeing","B737-4B7"
"N874NN","Boeing","B737-823PASSENGER"
"N321TZ","Boeing","B737-8"
"N775SW","Boeing","B-737-7H4"
"N17108","Embraer","ERJ-145XR"
"N912EV","Embraer","RJ-200"
"N806WA","McDonnell-Douglas","MD-80"
"N704SW","Boeing","B-737-7H4"
"N573UA","Boeing","B757-222PAX"
"N940FR","Airbus","A319-1"
"N411","Boeing","737-700PASSENGERONLY"
"N8443H","McDonnell-Douglas","DC-6A"
"N279JB","Embraer","EMB-190"
"N7518A","McDonnell-Douglas","SUPER80PASSENGER"
"N12922","Embraer","ERJ-145LR"
"N623NK","Airbus","A-320-PSGR"
"N462CA","Embraer","EMB-120PSGR"
"N97325","Canadair","RJ-200"
"N328UP","Boeing","B767-3"
"N873NN","Boeing","B737-823PASSENGER"
"N775AS","Boeing","B737-4"
"N660AM","Boeing","B757-223PASSENGER"
"N516JB","Airbus","A320-232-PSGR"
"N916FR","Airbus","A319"
"N371WN","Boeing","737-300PASSENGERONLY"
"N811FX","ATR","ATR72"
"N230FR","Airbus","A-320-1/2"
"N709CK","Boeing","B747-1"
"N581UP","Boeing","B-747-4"
"N417SW","Canadair","RJ-200"
"N940AJ","GulfStream","GA-V-VPSGR"
"N287FE","Boeing","B727-2"
"N843FD","Boeing","777FHT"
"N13718","Boeing","B737-700Pax"
"N750SK","Canadair","RJ-700"
"N623AA","Boeing","B757-200PASSENGER"
"N979AT","Boeing","Boeing717-200"
"N461FE","Boeing","B727-2"
"N88331","Embraer","EMB-175-PSGR"
"N328AT","Boeing","Boeing737-700/LR"
"N7811","Boeing","737-700PASSENGERONLY"
"N175HQ","Embraer","ERJ-190-100IGW"
"N66814","Boeing","B737-900ERPAX"
"N523SW","Boeing","B-737-5H4"
"N374DA","Boeing","B737-8"
"N916CK","Douglas","DC9-33F"
"N238NN","Embraer","ERJ-175"
"N810UA","Airbus","AirbusA319-131PAX"
"N708SW","Boeing","B-737-7H4"
"N581AA","McDonnell-Douglas","SUPER80PASSENGER"
"N944UP","Boeing","B727-100"
"N416YX","Embraer","ERJ-175-200LR"
"N850HK","Embraer","EMB-145"
"N286SC","Boeing","B727-Cargo"
"N75427","Boeing","B737-900ERPAX"
"N13665","Boeing","B737-5"
"N62889","Boeing","B737-900ERPAX"
"N470AA","McDonnell-Douglas","SUPER80PASSENGER"
"N334","Boeing","B737-3"
"N184DN","Boeing","B767-3"
"N667BR","Bombardier","CRJ-200"
"N522WN","Boeing","737-500PASSENGERONLY"
"N919RW","McDonnell-Douglas","DC-9-30"
"N37471","Boeing","B737-900ERPAX"
"N815SY","Boeing","B737-800"
"N237SW","Embraer","EMB120-ER"
"N8651A","Boeing","B-737-8H4"
"N311AT","Boeing","B737-700-psgr"
"N7713A","Boeing","B-737-7BD"
"N15980","Embraer","ERJ-145LR"
"N649RW","Embraer","ERJ-170-100SE"
"N503VJ","Bombardier","BD-700-1A11PSGR"
"N360AV","GulfStream","GulfStream150"
"N216NV","Airbus","A320"
"N933AN","Boeing","B737-823PASSENGER"
"N8325WN","Boeing","737-800PASSENGERONLY"
"N740SW","Boeing","B-737-7H4"
"N11547","Embraer","ERJ-145LR"
"N613AE","Embraer","ERJ-145"
"N448AS","Boeing","B737-990ERALLPAX"
"N316PQ","Bombardier","CRJ-900LR-PSGR"
"N165NN","Airbus","A321-231"
"n8982a","Bombardier","CRJ200"
"N908AW","Boeing","B757-2G7"
"N803ME","McDonnell-Douglas","MD-80"
"N70020","Airbus","A319-115PASSENGER"
"N566WN","Boeing","B-737-7CT"
"N406NV","McDonnell-Douglas","MD-83"
"N274SK","Embraer","Embraer-145"
"N122SY","Embraer","ERJ175"
"N967TW","McDonnell-Douglas","SUPER80PASSENGER"
"N868NN","Boeing","B737-823PASSENGER"
"N7736A","Boeing","B-737-7BD"
"N654UA","Boeing","B767-322ERPAX"
"N509US","Boeing","B757-2"
"N365WN","Boeing","737-300PASSENGERONLY"
"N223NV","Airbus","A320"
"N936DN","McDonnell-Douglas","MD-90-30-PSGR"
"N837EX","DeHavilland","DASH8-1"
"N745WN","Boeing","737-700PASSENGERONLY"
"N61898","Boeing","B737-900ERPAX"
"N974","Boeing","717-200PASSENGERONLY"
"N454AA","McDonnell-Douglas","SUPER80PASSENGER"
"N87513","Boeing","B737-800PAX"
"N322AW","Boeing","B737-3"
"N776AN","Boeing","B777-200PASSENGER"
"N17133","Boeing","B757-200PAX"
"N661AW","Airbus","A320-232"
"N912FX","ATR","ATR42-300"
"N807CA","Canadair","RJ100/ER"
"N704X","Boeing","B757-2"
"N574FE","McDonnell-Douglas","MD11"
"N940WN","Boeing","B-737-7H4"
"N411FE","Airbus","A310-2CF"
"N844DN","Boeing","737-932ER-PSGR"
"N279WN","Boeing","B-737-7H4"
"N751CE","Douglas","DC-6BCARGO"
"N12967","Embraer","ERJ-145LR"
"N623VA","Airbus","A320-214"
"N463","Boeing","737-700PASSENGERONLY"
"N973DL","McDonnell-Douglas","MD-88-PSGR"
"N329AT","Boeing","Boeing737-700/LR"
"N874AS","Embraer","RJ-200"
"N176CA","Boeing","757-28A"
"N775FE","Cessna","CE-208B"
"N660FE","Airbus","A300-600"
"N516US","Boeing","B757-2"
"N916RW","McDonnell-Douglas","DC9-30-PSGR"
"N37252","Boeing","B737-800PAX"
"N811SY","Boeing","B737-8"
"N231","Boeing","737-700PASSENGERONLY"
"N709GB","Embraer","ERJ-135"
"N582FE","McDonnell-Douglas","MD11"
"N417XA","CFMInternational","B-737-400PSGR"
"N940DL","McDonnell-Douglas","MD-88-PSGR"
"N288","Boeing","B737-7/L"
"N843MJ","Embraer","EMB-145"
"N137DL","Boeing","B767-3"
"N751","Boeing","B737-7/L"
"N623CZ","Embraer","EMB175"
"N979FD","Boeing","B-757-200"
"N462","Boeing","737-700PASSENGERONLY"
"N88359","Embraer","EMB-175-PSGR"
"N328NG","DeHavilland","Q400"
"N7813P","Boeing","B-737-7K9"
"N17614","Boeing","B737-500PAX"
"N66841","Boeing","B737-900ERPAX"
"N523VA","Airbus","A319-112"
"N374NW","Airbus","A320-PSGR"
"N916F","McDonnell-Douglas","DC9-15F"
"N239JB","Embraer","EMB-190"
"N811CA","Canadair","RJ100/ER"
"N709AS","Boeing","B737-490CARGO"
"N581NN","GE","CRJ900"
"N945AN","Boeing","B737-823PASSENGER"
"N417AX","CFMInternational","737-400-PSGR"
"N8512U","Boeing","B-737-8H4"
"N287","Boeing","B737-7/L"
"N75433","Boeing","B737-900ERPAX"
"N136SY","Embraer","ERJ175"
"N628AA","Boeing","B757-223PASSENGER"
"N470WN","Boeing","B737-7/L"
"N334JB","Embraer","E190-100-PSGR"
"N1852U","McDonnell-Douglas","DC-10-3"
"N523FE","McDonnell-Douglas","MD11"
"N919US","Airbus","A321-231"
"N3749D","Boeing","B737-8"
"N816AW","Airbus","A319-132"
"N238AG","Boeing","737-4YO"
"N714UW","Airbus","A319-1"
"N588US","Boeing","B737-3"
"N423NV","McDonnell-Douglas","MD-83"
"N295","Boeing","B737-7/L"
"N14158","Embraer","ERJ-145XR"
"N986AX","McDonnell-Douglas","DC-9-30"
"N891UA","Airbus","AirbusA319-131"
"N7842A","Boeing","B-737-73V"
"N672FE","Airbus","A300-600"
"N529PA","BAE","JETSTM31"
"N379","Boeing","B737-3"
"N24702","Boeing","B737-700PAX"
"407NV","McDonnell-Douglas","MD-83"
"N949MA","McDonnell-Douglas","MD-87"
"N8543Z","Boeing","B-737-8H4"
"N759","Boeing","B737-7/L"
"N632WN","Boeing","737-300PASSENGERONLY"
"N479CA","Canadair","RJ-200"
"N340US","Boeing","B737-3"
"N193UW","Airbus","A321-211"
"N923AE","Embraer","ERJ-145"
"N820SK","Bombardier","RJ-900"
"N720FD","Airbus","A300-600"
"N596FE","McDonnell-Douglas","MD11"
"N954FE","Cessna","CE-208B"
"N429NV","McDonnell-Douglas","MD-83"
"N302AS","Boeing","B737-990ALLPAX"
"N145UP","Airbus","A300F4-622R"
"N992DL","McDonnell-Douglas","MD-88-PSGR"
"N8970D","Canadair","RJ-200"
"N786UA","Boeing","B777-222BPAX"
"N678MG","Boeing","B727-2"
"N538UA","Boeing","B757-222PAX"
"N926LR","Bombardier","CRJ-900-PSGR"
"N385DA","Boeing","B737-8"
"N826AA","Dassault","FALCON"
"N253","Boeing","737-700PASSENGERONLY"
"N727WN","Boeing","737-700PASSENGERONLY"
"886GA","McDonnell-Douglas","MD-83"
"N603WN","Boeing","737-300PASSENGERONLY"
"N954","Boeing","737-700PASSENGERONLY"
"N859NN","Boeing","B737-823PASSENGER"
"N76355","Boeing","B737-300PAX"
"N638AM","Boeing","B757-2"
"P2-LAE","Lockheed","L-382G"
"N488DN","McDonnell-Douglas","MD-82-PSGR"
"N902AW","Boeing","B757-2S7"
"N347NW","Airbus","A320-PSGR"
"N792WN","Boeing","737-700PASSENGERONLY"
"N202SY","Embraer","ERJ175"
"N685DA","Boeing","B757-2"
"N551SX","Airbus","A319"
"N39450","Boeing","B737-900ERPAX"
"N926DL","McDonnell-Douglas","MD-88-PSGR"
"N261CH","Dassault","DASSAULT-FALCON-900L"
"N825BX","McDonnell-Douglas","DC-8/71Cargo"
"N108NN","Airbus","A321-231PASSENGER"
"N727AE","Embraer","ERJ-135"
"N603DL","Boeing","B757-2"
"N958U","McDonnell-Douglas","MD-80"
"N435AW","Canadair","RJ-200"
"N8629A","Boeing","B-737-8H4"
"N306PQ","Bombardier","CRJ-900LR-PSGR"
"N767UW","Airbus","A319-112"
"N150NN","Airbus","A321-231"
"N644AE","Embraer","ERJ-145"
"N496SA","Boeing","B-737-400"
"NXLAB","Boeing","B737-8"
"N354JB","Embraer","E190-100-PSGR"
"N9022G","Airbus","A319-115PASSENGER"
"N210","Boeing","737-700PASSENGERONLY"
"N792AN","Boeing","B777-200PASSENGER"
"N684DA","Boeing","B757-2"
"N550TZ","Boeing","B757-3"
"N92HL","GulfStream","G450"
"N393DA","Boeing","B737-8"
"N8308K","Boeing","B-737-8H4"
"N260SY","Embraer","ERJ175"
"N733CK","Boeing","737-436"
"N107HQ","Embraer","ERJ-175-200LR"
"N608","Boeing","B737-3"
"N442AW","Canadair","RJ-200"
"N958DL","McDonnell-Douglas","MD-88-PSGR"
"N311GT","Boeing","B-737-400"
"N8625","Boeing","737-800PASSENGERONLY"
"N1603","Boeing","B767-3"
"N767DA","Boeing","B-767-PSGR"
"N643GT","Boeing","B767-300"
"n8560f","Bombardier","CRJ200"
"N495SA","Boeing","B-737-400"
"N905AU","Airbus","A321-231"
"N685SW","Boeing","B-737-3Q8"
"N551UW","Airbus","A321-231"
"N930AU","Airbus","A321-231"
"N39463","Boeing","B737-900ERPAX"
"N830BX","McDonnell-Douglas","DC-8/71Cargo"
"N261NN","Embraer","ERJ-175"
"N73406","Boeing","B737-900PAX"
"N108SY","Embraer","ERJ175"
"N608NK","Airbus","A320PAX"
"N443","Boeing","737-700PASSENGERONLY"
"N958WH","Embraer","ERJ-175-200LR"
"N312AW","Boeing","B737-3"
"N862DA","Boeing","B777-2"
"N767WN","Boeing","737-700PASSENGERONLY"
"N644AW","Airbus","A320-231"
"n8659b","Bombardier","CRJ200"
"N496WN","Boeing","B737-7/L"
"N905FX","ATR","ATR-42"
"N354NB","Airbus","A319-PSGR"
"N7FE","LearJet","LearJet56"
"N210CJ","Saab","Saab340B"
"N693DL","Boeing","B757-2"
"N560TZ","Boeing","B757-3"
"N402AS","Boeing","B737-990ERALLPAX"
"N93003","Airbus","A319-115PASSENGER"
"N27015","Boeing","B777-200PAX"
"N8309","Boeing","737-800PASSENGERONLY"
"N117JF","GulfStream","IV"
"N733KA","Boeing","737-800"
"N608AA*","Boeing","B757-200PASSENGER"
"N963FE","Cessna","CE-208B"
"N442FE","Airbus","A310-2CF"
"N8656B","Boeing","B-737-8H4"
"N311PQ","Bombardier","CRJ-900LR-PSGR"
"N7718B","Boeing","B-737-76N"
"N1605","Boeing","B767-3"
"N650FE","Airbus","A300-600"
"N504TA","Airbus","A300X4"
"n8580a","Bombardier","CRJ200"
"N361","Boeing","B737-3"
"N905AX","McDonnell-Douglas","DC-9-30"
"N217JC","Boeing","B737-7/L"
"N799AX","Boeing","B767-2"
"N693","Boeing","B737-3"
"N559UA","Boeing","B757-222PAX"
"N933FR","Airbus","A319-1"
"N401QX","DeHavilland","DHC8-400"
"N8329B","Boeing","B-737-8H4"
"N269AA","McDonnell-Douglas","MD-80"
"N741EV","Canadair","RJ-700"
"N11656","Boeing","B737-5"
"N613SW","Boeing","B-737-3H4"
"N449","Boeing","737-700PASSENGERONLY"
"N317DN","Airbus","A321-211-PSGR"
"N16648","Boeing","B737-500PAX"
"N7714B","Boeing","B-737-76N"
"N649UA","Boeing","B767-322ERPAX"
"n910xj","Bombardier","CRJ900"
"N504","Boeing","B737-5"
"N908H","McDonnell-Douglas","DC-9-30"
"N360HA","Airbus","A330-200"
"N804AN","Boeing","B787-8"
"N216SW","Embraer","EMB120-ER"
"N700UP","McDonnell-Douglas","DC-8-71"
"N567WN","Boeing","B-737-7CT"
"N407AS","Boeing","B737-990ERALLPAX"
"N275AY","Airbus","A330-323X"
"N123DN","Boeing","B767-332"
"N968FE","Cessna","CE-208B"
"N8696E","Boeing","B-737-8H4"
"N316US","Airbus","A320-PSGR"
"N773AX","Boeing","B767-232SF"
"N165UP","Airbus","A300F4-622R"
"N655JB","Airbus","A320-232-PSGR"
"N510TA","Airbus","A300X4"
"N366WN","Boeing","737-300PASSENGERONLY"
"N224BH","GulfStream","G450"
"N936XJ","Bombardier","RJ-900"
"N838HK","Embraer","EMB-145"
"N746JB","Airbus","A320-232-PSGR"
"N618US","Boeing","B747-4F"
"N455","Boeing","737-700PASSENGERONLY"
"N323AA","Boeing","B767-223ERPASSENGER"
"N171DZ","Boeing","B767-3"
"N913DE","McDonnell-Douglas","MD-88-PSGR"
"N807NW","Airbus","A330-PSGR"
"N705DN","Boeing","B-777-2"
"N575RP","Embraer","Embraer-145"
"N412","Boeing","737-700PASSENGERONLY"
"N281AK","Boeing","B737-990ERALLPAX"
"N130DL","Boeing","B767-3"
"N974AS","McDonnell-Douglas","MD-83"
"N87527","Boeing","B737-800PAX"
"N776AU","Boeing","B737-4"
"N661DN","Boeing","B757-2"
"N5180","Cessna","CES-180ECOMBI"
"N917CK","Douglas","DC9-15F"
