year,quarter,month,dayofmonth,dayofweek,flightdate,reporting_airline,dot_id_reporting_airline,iata_code_reporting_airline,tail_number,flight_number_reporting_airline,originairportid,originairportseqid,origincitymarketid,origin,origincityname,originstate,originstatefips,originstatename,originwac,destairportid,destairportseqid,destcitymarketid,dest,destcityname,deststate,deststatefips,deststatename,destwac,crsdeptime,deptime,depdelay,depdelayminutes,depdel15,departuredelaygroups,deptimeblk,taxiout,wheelsoff,wheelson,taxiin,crsarrtime,arrtime,arrdelay,arrdelayminutes,arrdel15,arrivaldelaygroups,arrtimeblk,cancelled,cancellationcode,diverted,crselapsedtime,actualelapsedtime,airtime,flights,distance,distancegroup,carrierdelay,weatherdelay,nasdelay,securitydelay,lateaircraftdelay,firstdeptime,totaladdgtime,longestaddgtime,divairportlandings,divreacheddest,divactualelapsedtime,divarrdelay,divdistance,divairport
2013,1,1,15,2,2013-01-15,AA,19805,AA,N467AA,2301,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,600,617,17,17,1,1,0600-0659,12,629,908,10,830,918,48,48,1,3,0800-0859,0,0,0,150,181,159,1,802,4,0,0,48,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,7,1,2013-01-07,DL,19790,DL,N786NC,2183,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1030,1025,-5,0,0,-1,1000-1059,20,1045,1310,9,1328,1319,-9,0,0,-1,1300-1359,0,0,0,118,114,85,1,606,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,22,2,2013-01-22,AA,19805,AA,N469AA,1502,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,15304,1530402,33195,TPA,"Tampa, FL",FL,12,Florida,33,1225,1315,50,50,1,3,1200-1259,14,1329,1634,3,1555,1637,42,42,1,2,1500-1559,0,0,0,150,142,125,1,1012,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,31,4,2013-01-31,EV,20366,EV,N825AS,5740,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,10994,1099402,30994,CHS,"Charleston, SC",SC,45,South Carolina,37,831,823,-8,0,0,-1,0800-0859,44,907,1145,3,1138,1148,10,10,0,0,1100-1159,0,0,0,127,145,98,1,760,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,30,3,2013-01-30,WN,19393,WN,N290WN,239,13232,1323202,30977,MDW,"Chicago, IL",IL,17,Illinois,41,11423,1142303,31423,DSM,"Des Moines, IA",IA,19,Iowa,61,2050,2104,14,14,0,0,2000-2059,26,2130,2221,9,2210,2230,20,20,1,1,2200-2259,0,0,0,80,86,51,1,306,2,0,0,6,0,14,0,0,0,0,0,0,0,0,0
2013,1,1,7,1,2013-01-07,MQ,20398,MQ,N909MQ,4353,13871,1387102,33316,OMA,"Omaha, NE",NE,31,Nebraska,65,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1155,1201,6,6,0,0,1100-1159,7,1208,1319,5,1330,1324,-6,0,0,-1,1300-1359,0,0,0,95,83,71,1,416,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,13,7,2013-01-13,EV,20366,EV,N13956,5836,12278,1227802,30928,ICT,"Wichita, KS",KS,20,Kansas,62,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,640,641,1,1,0,0,0600-0659,13,654,809,6,831,815,-16,0,0,-2,0800-0859,0,0,0,111,94,75,1,588,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,28,1,2013-01-28,MQ,20398,MQ,N501MQ,3836,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,650,647,-3,0,0,-1,0600-0659,14,701,729,8,750,737,-13,0,0,-1,0700-0759,0,0,0,120,110,88,1,606,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,25,5,2013-01-25,OO,20304,OO,N970SW,6275,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82,917,925,8,8,0,0,0900-0959,26,951,1106,5,1101,1111,10,10,0,0,1100-1159,0,0,0,164,166,135,1,911,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,8,2,2013-01-08,WN,19393,WN,N295WN,3775,13198,1319801,33198,MCI,"Kansas City, MO",MO,29,Missouri,64,13232,1323202,30977,MDW,"Chicago, IL",IL,17,Illinois,41,1340,1351,11,11,0,0,1300-1359,11,1402,1503,6,1505,1509,4,4,0,0,1500-1559,0,0,0,85,78,61,1,405,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,14,1,2013-01-14,UA,19977,UA,N36272,1663,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,1003,1012,9,9,0,0,1000-1059,11,1023,1140,7,1141,1147,6,6,0,0,1100-1159,0,0,0,158,155,137,1,888,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
