,flightdate,dayofweek,weather
5361,2013-01-11,5,Patchy rain possible
5362,2013-01-12,6,Partly cloudy
5363,2013-01-13,7,Overcast
5364,2013-01-27,7,Moderate snow
5365,2013-01-22,2,Sunny
5366,2013-01-27,7,Moderate or heavy snow showers
5367,2013-01-27,7,Moderate snow
5368,2013-01-30,3,Moderate or heavy rain shower
5369,2013-01-31,4,Overcast
5370,2013-01-09,3,Sunny
5371,2013-01-08,2,Sunny
5372,2013-01-07,1,Sunny
5373,2013-01-10,4,Partly cloudy
5374,2013-01-04,5,Sunny
5375,2013-01-19,6,Overcast
5376,2013-01-20,7,Cloudy
5377,2013-01-03,4,Overcast
5378,2013-01-25,5,Light freezing rain
5379,2013-01-28,1,Patchy rain possible
5380,2013-01-26,6,Sunny
5381,2013-01-24,4,Overcast
5382,2013-01-22,2,Partly cloudy
5383,2013-01-23,3,Cloudy
5384,2013-01-21,1,Overcast
5385,2013-01-20,7,Sunny
5386,2013-01-19,6,Overcast
5387,2013-01-30,3,Patchy rain possible
5388,2013-01-31,4,Overcast
5389,2013-01-18,5,Partly cloudy
5390,2013-01-15,2,Sunny
5391,2013-01-16,3,Sunny
5392,2013-01-14,1,Sunny
5393,2013-01-12,6,Cloudy
5394,2013-01-03,4,Overcast
5395,2013-01-03,4,Cloudy
5396,2013-01-03,4,Overcast
5397,2013-01-15,2,Sunny
5398,2013-01-15,2,Sunny
5399,2013-01-03,4,Overcast
5400,2013-01-15,2,Sunny
5401,2013-01-15,2,Sunny
5402,2013-01-01,2,Clear
5403,2013-01-01,2,Cloudy
5404,2013-01-01,2,Sunny
5405,2013-01-01,2,Sunny
5406,2013-01-01,2,Sunny
5407,2013-01-07,1,Sunny
5408,2013-01-01,2,Sunny
5409,2013-01-01,2,Sunny
5410,2013-01-01,2,Cloudy
5411,2013-01-01,2,Sunny
5412,2013-01-02,3,Sunny
5413,2013-01-02,3,Sunny
5414,2013-01-01,2,Sunny
5415,2013-01-26,6,Sunny
5416,2013-01-12,6,Overcast
5417,2013-01-07,1,Clear
5418,2013-01-08,2,Cloudy
5419,2013-01-30,3,Light freezing rain
5420,2013-01-25,5,Overcast
5421,2013-01-24,4,Partly cloudy
5422,2013-01-28,1,Cloudy
5423,2013-01-31,4,Overcast
5424,2013-01-30,3,Light freezing rain
5425,2013-01-21,1,Clear
5426,2013-01-29,2,Moderate or heavy rain shower
5427,2013-01-03,4,Partly cloudy
5428,2013-01-16,3,Overcast
5429,2013-01-18,5,Clear
5430,2013-01-22,2,Sunny
5431,2013-01-21,1,Partly cloudy
5432,2013-01-23,3,Overcast
5433,2013-01-26,6,Sunny
5434,2013-01-28,1,Cloudy
5435,2013-01-24,4,Overcast
5436,2013-01-25,5,Sunny
5437,2013-01-19,6,Cloudy
5438,2013-01-25,5,Light freezing rain
5439,2013-01-26,6,Sunny
5440,2013-01-27,7,Partly cloudy
5441,2013-01-28,1,Patchy rain possible
5442,2013-01-29,2,Moderate or heavy rain shower
5443,2013-01-30,3,Patchy rain possible
5444,2013-01-31,4,Overcast
5445,2013-01-30,3,Patchy rain possible
5446,2013-01-13,7,Overcast
5447,2013-01-14,1,Sunny
5448,2013-01-15,2,Partly cloudy
5449,2013-01-16,3,Sunny
5450,2013-01-08,2,Cloudy
5451,2013-01-09,3,Clear
5452,2013-01-10,4,Moderate rain at times
5453,2013-01-11,5,Partly cloudy
5454,2013-01-13,7,Cloudy
5455,2013-01-14,1,Clear
5456,2013-01-22,2,Partly cloudy
5457,2013-01-31,4,Overcast
5458,2013-01-28,1,Overcast
5459,2013-01-28,1,Patchy rain possible
5460,2013-01-22,2,Sunny
5461,2013-01-22,2,Sunny
5462,2013-01-24,4,Partly cloudy
5463,2013-01-25,5,Overcast
5464,2013-01-26,6,Clear
5465,2013-01-27,7,Moderate or heavy snow showers
5466,2013-01-17,4,Sunny
5467,2013-01-18,5,Partly cloudy
5468,2013-01-19,6,Overcast
5469,2013-01-20,7,Cloudy
5470,2013-01-21,1,Partly cloudy
5471,2013-01-22,2,Sunny
5472,2013-01-15,2,Clear
5473,2013-01-16,3,Overcast
5474,2013-01-17,4,Clear
5475,2013-01-18,5,Clear
5476,2013-01-20,7,Clear
5477,2013-01-28,1,Cloudy
5478,2013-01-29,2,Moderate or heavy rain shower
5479,2013-01-30,3,Light freezing rain
5480,2013-01-31,4,Overcast
5481,2013-01-01,2,Clear
5482,2013-01-23,3,Overcast
5483,2013-01-24,4,Overcast
5484,2013-01-25,5,Sunny
5485,2013-01-26,6,Sunny
5486,2013-01-27,7,Partly cloudy
5487,2013-01-28,1,Cloudy
5488,2013-01-21,1,Clear
5489,2013-01-23,3,Overcast
5490,2013-01-24,4,Partly cloudy
5491,2013-01-01,2,Cloudy
5492,2013-01-02,3,Sunny
5493,2013-01-10,4,Moderate rain at times
5494,2013-01-11,5,Partly cloudy
5495,2013-01-13,7,Cloudy
5496,2013-01-14,1,Clear
5497,2013-01-15,2,Clear
5498,2013-01-16,3,Overcast
5499,2013-01-04,5,Sunny
5500,2013-01-05,6,Partly cloudy
5501,2013-01-06,7,Overcast
5502,2013-01-07,1,Sunny
5503,2013-01-08,2,Sunny
5504,2013-01-09,3,Sunny
5505,2013-01-29,2,Moderate or heavy rain shower
5506,2013-01-03,4,Overcast
5507,2013-01-04,5,Sunny
5508,2013-01-05,6,Partly cloudy
5509,2013-01-07,1,Sunny
5510,2013-01-08,2,Sunny
5511,2013-01-18,5,Clear
5512,2013-01-20,7,Clear
5513,2013-01-21,1,Clear
5514,2013-01-22,2,Partly cloudy
5515,2013-01-10,4,Sunny
5516,2013-01-11,5,Patchy rain possible
5517,2013-01-12,6,Partly cloudy
5518,2013-01-13,7,Overcast
5519,2013-01-14,1,Sunny
5520,2013-01-15,2,Sunny
5521,2013-01-23,3,Overcast
5522,2013-01-24,4,Partly cloudy
5523,2013-01-25,5,Overcast
5524,2013-01-27,7,Moderate or heavy snow showers
5525,2013-01-17,4,Sunny
5526,2013-01-18,5,Sunny
5527,2013-01-19,6,Cloudy
5528,2013-01-20,7,Overcast
5529,2013-01-21,1,Sunny
5530,2013-01-22,2,Sunny
5531,2013-01-23,3,Overcast
5532,2013-01-24,4,Partly cloudy
5533,2013-01-25,5,Partly cloudy
5534,2013-01-27,7,Moderate snow
5535,2013-01-28,1,Overcast
5536,2013-01-29,2,Moderate or heavy rain shower
5537,2013-01-30,3,Patchy rain possible
5538,2013-01-31,4,Overcast
5539,2013-01-31,4,Overcast
5540,2013-01-14,1,Sunny
5541,2013-01-14,1,Sunny
5542,2013-01-26,6,Sunny
5543,2013-01-14,1,Sunny
5544,2013-01-14,1,Sunny
5545,2013-01-01,2,Sunny
5546,2013-01-02,3,Sunny
5547,2013-01-02,3,Sunny
5548,2013-01-01,2,Clear
5549,2013-01-01,2,Sunny
5550,2013-01-01,2,Sunny
5551,2013-01-01,2,Sunny
5552,2013-01-01,2,Sunny
5553,2013-01-01,2,Sunny
5554,2013-01-02,3,Sunny
5555,2013-01-02,3,Sunny
5556,2013-01-02,3,Sunny
5557,2013-01-02,3,Sunny
5558,2013-01-02,3,Sunny
5559,2013-01-13,7,Overcast
5560,2013-01-06,7,Overcast
5561,2013-01-11,5,Cloudy
5562,2013-01-03,4,Cloudy
5563,2013-01-09,3,Sunny
5564,2013-01-04,5,Sunny
5565,2013-01-02,3,Clear
5566,2013-01-02,3,Sunny
5567,2013-01-02,3,Sunny
5568,2013-01-07,1,Sunny
5569,2013-01-18,5,Partly cloudy
5570,2013-01-15,2,Partly cloudy
5571,2013-01-16,3,Sunny
5572,2013-01-10,4,Partly cloudy
5573,2013-01-08,2,Sunny
5574,2013-01-02,3,Sunny
5575,2013-01-02,3,Sunny
5576,2013-01-02,3,Sunny
