,flightdate,dayofweek,weather
0,2013-01-01,2,Sunny
1,2013-01-30,3,Moderate or heavy rain shower
2,2013-01-31,4,Overcast
3,2013-01-02,3,Sunny
4,2013-01-03,4,Cloudy
5,2013-01-04,5,Sunny
6,2013-01-03,4,Cloudy
7,2013-01-04,5,Sunny
8,2013-01-06,7,Partly cloudy
9,2013-01-26,6,Sunny
10,2013-01-27,7,Moderate snow
11,2013-01-28,1,Overcast
12,2013-01-29,2,Moderate or heavy rain shower
13,2013-01-30,3,Patchy rain possible
14,2013-01-31,4,Overcast
15,2013-01-03,4,Partly cloudy
16,2013-01-04,5,Clear
17,2013-01-05,6,Patchy rain possible
18,2013-01-06,7,Clear
19,2013-01-07,1,Clear
20,2013-01-08,2,Cloudy
21,2013-01-09,3,Clear
22,2013-01-10,4,Moderate rain at times
23,2013-01-11,5,Partly cloudy
24,2013-01-12,6,Partly cloudy
25,2013-01-13,7,Cloudy
26,2013-01-25,5,Sunny
27,2013-01-27,7,Partly cloudy
28,2013-01-28,1,Cloudy
29,2013-01-29,2,Patchy rain possible
30,2013-01-30,3,Moderate or heavy rain shower
31,2013-01-31,4,Overcast
32,2013-01-17,4,Sunny
33,2013-01-18,5,Partly cloudy
34,2013-01-21,1,Partly cloudy
35,2013-01-22,2,Sunny
36,2013-01-23,3,Overcast
37,2013-01-24,4,Overcast
38,2013-01-25,5,Sunny
39,2013-01-27,7,Partly cloudy
40,2013-01-28,1,Cloudy
41,2013-01-29,2,Patchy rain possible
42,2013-01-30,3,Moderate or heavy rain shower
43,2013-01-03,4,Overcast
44,2013-01-04,5,Sunny
45,2013-01-06,7,Overcast
46,2013-01-07,1,Sunny
47,2013-01-08,2,Sunny
48,2013-01-09,3,Sunny
49,2013-01-10,4,Sunny
50,2013-01-11,5,Patchy rain possible
51,2013-01-13,7,Overcast
52,2013-01-14,1,Sunny
53,2013-01-29,2,Moderate rain at times
54,2013-01-30,3,Patchy rain possible
55,2013-01-31,4,Overcast
56,2013-01-03,4,Overcast
57,2013-01-04,5,Sunny
58,2013-01-07,1,Sunny
59,2013-01-02,3,Sunny
60,2013-01-06,7,Partly cloudy
61,2013-01-07,1,Sunny
62,2013-01-08,2,Sunny
63,2013-01-09,3,Sunny
64,2013-01-10,4,Cloudy
65,2013-01-11,5,Cloudy
66,2013-01-13,7,Partly cloudy
67,2013-01-14,1,Sunny
68,2013-01-15,2,Sunny
69,2013-01-16,3,Cloudy
70,2013-01-17,4,Sunny
71,2013-01-18,5,Sunny
72,2013-01-21,1,Sunny
73,2013-01-22,2,Sunny
74,2013-01-23,3,Overcast
75,2013-01-24,4,Partly cloudy
76,2013-01-25,5,Partly cloudy
77,2013-01-07,1,Sunny
78,2013-01-09,3,Sunny
79,2013-01-10,4,Cloudy
80,2013-01-11,5,Cloudy
81,2013-01-13,7,Partly cloudy
82,2013-01-14,1,Sunny
83,2013-01-16,3,Cloudy
84,2013-01-17,4,Sunny
85,2013-01-18,5,Sunny
86,2013-01-20,7,Overcast
87,2013-01-21,1,Sunny
88,2013-01-23,3,Overcast
89,2013-01-24,4,Partly cloudy
90,2013-01-25,5,Partly cloudy
91,2013-01-27,7,Moderate snow
92,2013-01-28,1,Overcast
93,2013-01-30,3,Patchy rain possible
94,2013-01-01,2,Sunny
95,2013-01-14,1,Clear
96,2013-01-15,2,Clear
97,2013-01-16,3,Overcast
98,2013-01-17,4,Clear
99,2013-01-18,5,Clear
100,2013-01-19,6,Clear
101,2013-01-20,7,Clear
102,2013-01-21,1,Clear
103,2013-01-22,2,Partly cloudy
104,2013-01-23,3,Overcast
105,2013-01-24,4,Partly cloudy
106,2013-01-25,5,Overcast
107,2013-01-31,4,Overcast
108,2013-01-15,2,Sunny
109,2013-01-16,3,Sunny
110,2013-01-17,4,Sunny
111,2013-01-18,5,Partly cloudy
112,2013-01-21,1,Overcast
113,2013-01-22,2,Partly cloudy
114,2013-01-23,3,Cloudy
115,2013-01-24,4,Overcast
116,2013-01-25,5,Light freezing rain
117,2013-01-27,7,Partly cloudy
118,2013-01-28,1,Patchy rain possible
119,2013-01-29,2,Moderate or heavy rain shower
120,2013-01-08,2,Sunny
121,2013-01-09,3,Sunny
122,2013-01-10,4,Sunny
123,2013-01-11,5,Patchy rain possible
124,2013-01-14,1,Sunny
125,2013-01-15,2,Sunny
126,2013-01-16,3,Sunny
127,2013-01-17,4,Sunny
128,2013-01-18,5,Partly cloudy
129,2013-01-21,1,Overcast
130,2013-01-22,2,Partly cloudy
131,2013-01-23,3,Cloudy
132,2013-01-05,6,Partly cloudy
133,2013-01-04,5,Sunny
134,2013-01-15,2,Partly cloudy
135,2013-01-16,3,Sunny
136,2013-01-17,4,Sunny
137,2013-01-18,5,Partly cloudy
138,2013-01-21,1,Partly cloudy
139,2013-01-22,2,Sunny
140,2013-01-23,3,Overcast
141,2013-01-24,4,Overcast
142,2013-01-25,5,Sunny
143,2013-01-27,7,Partly cloudy
144,2013-01-28,1,Cloudy
145,2013-01-06,7,Overcast
146,2013-01-08,2,Cloudy
147,2013-01-23,3,Cloudy
148,2013-01-23,3,Overcast
149,2013-01-08,2,Sunny
150,2013-01-05,6,Partly cloudy
151,2013-01-05,6,Patchy rain possible
152,2013-01-04,5,Sunny
153,2013-01-10,4,Cloudy
154,2013-01-02,3,Sunny
155,2013-01-02,3,Sunny
156,2013-01-08,2,Sunny
157,2013-01-08,2,Sunny
158,2013-01-10,4,Sunny
159,2013-01-13,7,Overcast
160,2013-01-05,6,Partly cloudy
161,2013-01-05,6,Partly cloudy
162,2013-01-04,5,Partly cloudy
163,2013-01-21,1,Partly cloudy
164,2013-01-03,4,Cloudy
165,2013-01-03,4,Partly cloudy
166,2013-01-01,2,Cloudy
167,2013-01-26,6,Sunny
168,2013-01-30,3,Patchy rain possible
169,2013-01-01,2,Sunny
170,2013-01-24,4,Overcast
171,2013-01-06,7,Partly cloudy
172,2013-01-20,7,Sunny
173,2013-01-10,4,Cloudy
174,2013-01-08,2,Sunny
175,2013-01-14,1,Clear
176,2013-01-15,2,Clear
177,2013-01-16,3,Overcast
178,2013-01-17,4,Clear
179,2013-01-18,5,Clear
180,2013-01-21,1,Clear
181,2013-01-22,2,Partly cloudy
182,2013-01-23,3,Overcast
183,2013-01-24,4,Partly cloudy
184,2013-01-25,5,Overcast
185,2013-01-27,7,Moderate or heavy snow showers
186,2013-01-28,1,Cloudy
187,2013-01-01,2,Sunny
188,2013-01-02,3,Sunny
189,2013-01-03,4,Overcast
190,2013-01-04,5,Sunny
191,2013-01-05,6,Partly cloudy
192,2013-01-06,7,Overcast
193,2013-01-07,1,Sunny
194,2013-01-08,2,Partly cloudy
195,2013-01-27,7,Partly cloudy
196,2013-01-11,5,Patchy rain possible
197,2013-01-02,3,Sunny
198,2013-01-03,4,Overcast
199,2013-01-08,2,Sunny
200,2013-01-03,4,Partly cloudy
201,2013-01-05,6,Patchy rain possible
202,2013-01-03,4,Cloudy
203,2013-01-29,2,Moderate or heavy rain shower
204,2013-01-15,2,Partly cloudy
205,2013-01-11,5,Patchy rain possible
206,2013-01-11,5,Patchy rain possible
207,2013-01-11,5,Cloudy
208,2013-01-14,1,Sunny
209,2013-01-14,1,Sunny
210,2013-01-01,2,Clear
211,2013-01-12,6,Cloudy
212,2013-01-13,7,Overcast
213,2013-01-13,7,Partly cloudy
214,2013-01-15,2,Sunny
215,2013-01-15,2,Sunny
216,2013-01-24,4,Overcast
217,2013-01-19,6,Overcast
218,2013-01-19,6,Cloudy
219,2013-01-03,4,Cloudy
220,2013-01-04,5,Sunny
221,2013-01-05,6,Patchy rain possible
222,2013-01-06,7,Partly cloudy
223,2013-01-07,1,Sunny
224,2013-01-10,4,Cloudy
225,2013-01-11,5,Cloudy
226,2013-01-12,6,Partly cloudy
227,2013-01-13,7,Partly cloudy
228,2013-01-14,1,Sunny
229,2013-01-17,4,Sunny
230,2013-01-18,5,Sunny
231,2013-01-19,6,Cloudy
232,2013-01-26,6,Clear
233,2013-01-27,7,Moderate or heavy snow showers
234,2013-01-28,1,Cloudy
235,2013-01-29,2,Moderate or heavy rain shower
236,2013-01-30,3,Light freezing rain
237,2013-01-03,4,Cloudy
238,2013-01-04,5,Sunny
239,2013-01-06,7,Overcast
240,2013-01-07,1,Sunny
241,2013-01-31,4,Overcast
242,2013-01-08,2,Sunny
243,2013-01-09,3,Sunny
244,2013-01-10,4,Partly cloudy
245,2013-01-11,5,Cloudy
246,2013-01-13,7,Overcast
247,2013-01-14,1,Sunny
248,2013-01-22,2,Partly cloudy
249,2013-01-22,2,Sunny
250,2013-01-02,3,Sunny
251,2013-01-03,4,Cloudy
252,2013-01-04,5,Sunny
253,2013-01-05,6,Partly cloudy
254,2013-01-06,7,Overcast
255,2013-01-07,1,Sunny
256,2013-01-08,2,Sunny
257,2013-01-09,3,Sunny
258,2013-01-10,4,Partly cloudy
259,2013-01-11,5,Cloudy
260,2013-01-12,6,Overcast
261,2013-01-13,7,Overcast
262,2013-01-14,1,Sunny
263,2013-01-15,2,Partly cloudy
264,2013-01-23,3,Overcast
265,2013-01-24,4,Overcast
266,2013-01-25,5,Light freezing rain
267,2013-01-26,6,Sunny
268,2013-01-27,7,Partly cloudy
269,2013-01-28,1,Patchy rain possible
270,2013-01-29,2,Moderate rain at times
271,2013-01-30,3,Patchy rain possible
272,2013-01-31,4,Overcast
273,2013-01-01,2,Sunny
274,2013-01-05,6,Patchy rain possible
275,2013-01-30,3,Patchy rain possible
276,2013-01-31,4,Overcast
277,2013-01-18,5,Partly cloudy
278,2013-01-01,2,Sunny
279,2013-01-02,3,Sunny
280,2013-01-24,4,Overcast
281,2013-01-25,5,Light freezing rain
282,2013-01-28,1,Patchy rain possible
283,2013-01-29,2,Moderate or heavy rain shower
284,2013-01-30,3,Patchy rain possible
285,2013-01-31,4,Overcast
286,2013-01-14,1,Sunny
287,2013-01-14,1,Sunny
288,2013-01-01,2,Sunny
289,2013-01-01,2,Sunny
290,2013-01-04,5,Sunny
291,2013-01-02,3,Sunny
292,2013-01-06,7,Overcast
293,2013-01-07,1,Sunny
294,2013-01-06,7,Clear
295,2013-01-06,7,Clear
296,2013-01-06,7,Overcast
297,2013-01-05,6,Partly cloudy
298,2013-01-14,1,Sunny
299,2013-01-15,2,Sunny
300,2013-01-16,3,Cloudy
301,2013-01-17,4,Sunny
302,2013-01-18,5,Sunny
303,2013-01-19,6,Cloudy
304,2013-01-20,7,Overcast
305,2013-01-21,1,Sunny
306,2013-01-22,2,Sunny
307,2013-01-23,3,Overcast
308,2013-01-24,4,Partly cloudy
309,2013-01-25,5,Partly cloudy
310,2013-01-04,5,Sunny
311,2013-01-06,7,Overcast
312,2013-01-07,1,Sunny
313,2013-01-08,2,Sunny
314,2013-01-09,3,Sunny
315,2013-01-10,4,Partly cloudy
316,2013-01-11,5,Cloudy
317,2013-01-13,7,Overcast
318,2013-01-14,1,Sunny
319,2013-01-15,2,Partly cloudy
320,2013-01-16,3,Sunny
321,2013-01-17,4,Sunny
322,2013-01-18,5,Partly cloudy
323,2013-01-21,1,Partly cloudy
324,2013-01-22,2,Sunny
325,2013-01-23,3,Overcast
326,2013-01-24,4,Overcast
327,2013-01-09,3,Sunny
328,2013-01-11,5,Cloudy
329,2013-01-04,5,Sunny
330,2013-01-06,7,Overcast
331,2013-01-07,1,Sunny
332,2013-01-08,2,Sunny
333,2013-01-09,3,Sunny
334,2013-01-10,4,Partly cloudy
335,2013-01-11,5,Cloudy
336,2013-01-13,7,Overcast
337,2013-01-14,1,Sunny
338,2013-01-15,2,Partly cloudy
339,2013-01-16,3,Sunny
340,2013-01-13,7,Cloudy
341,2013-01-13,7,Cloudy
342,2013-01-13,7,Overcast
343,2013-01-16,3,Sunny
344,2013-01-17,4,Sunny
345,2013-01-18,5,Partly cloudy
346,2013-01-19,6,Cloudy
347,2013-01-21,1,Overcast
348,2013-01-06,7,Overcast
349,2013-01-23,3,Overcast
350,2013-01-24,4,Overcast
351,2013-01-25,5,Light freezing rain
352,2013-01-26,6,Sunny
353,2013-01-27,7,Partly cloudy
354,2013-01-28,1,Patchy rain possible
355,2013-01-02,3,Sunny
356,2013-01-13,7,Overcast
357,2013-01-14,1,Sunny
358,2013-01-27,7,Partly cloudy
359,2013-01-25,5,Overcast
360,2013-01-18,5,Clear
361,2013-01-18,5,Partly cloudy
362,2013-01-31,4,Overcast
363,2013-01-16,3,Sunny
364,2013-01-17,4,Sunny
365,2013-01-18,5,Partly cloudy
366,2013-01-19,6,Overcast
367,2013-01-22,2,Partly cloudy
368,2013-01-23,3,Cloudy
369,2013-01-24,4,Overcast
370,2013-01-25,5,Light freezing rain
371,2013-01-26,6,Sunny
372,2013-01-27,7,Partly cloudy
373,2013-01-28,1,Patchy rain possible
374,2013-01-29,2,Moderate or heavy rain shower
375,2013-01-30,3,Patchy rain possible
376,2013-01-24,4,Overcast
377,2013-01-25,5,Sunny
378,2013-01-26,6,Sunny
379,2013-01-27,7,Partly cloudy
380,2013-01-28,1,Cloudy
381,2013-01-29,2,Patchy rain possible
382,2013-01-30,3,Moderate or heavy rain shower
383,2013-01-31,4,Overcast
384,2013-01-17,4,Sunny
385,2013-01-18,5,Partly cloudy
386,2013-01-21,1,Overcast
387,2013-01-24,4,Overcast
388,2013-01-25,5,Light freezing rain
389,2013-01-27,7,Partly cloudy
390,2013-01-28,1,Patchy rain possible
391,2013-01-29,2,Moderate rain at times
392,2013-01-30,3,Patchy rain possible
393,2013-01-31,4,Overcast
394,2013-01-29,2,Moderate or heavy rain shower
395,2013-01-12,6,Partly cloudy
396,2013-01-13,7,Overcast
397,2013-01-13,7,Partly cloudy
398,2013-01-04,5,Sunny
399,2013-01-05,6,Partly cloudy
400,2013-01-01,2,Sunny
401,2013-01-02,3,Clear
402,2013-01-03,4,Overcast
403,2013-01-02,3,Sunny
404,2013-01-03,4,Cloudy
405,2013-01-06,7,Overcast
406,2013-01-27,7,Partly cloudy
407,2013-01-27,7,Moderate snow
408,2013-01-08,2,Partly cloudy
409,2013-01-25,5,Light freezing rain
410,2013-01-25,5,Partly cloudy
411,2013-01-08,2,Sunny
412,2013-01-08,2,Sunny
413,2013-01-07,1,Sunny
414,2013-01-17,4,Sunny
415,2013-01-04,5,Sunny
416,2013-01-11,5,Cloudy
417,2013-01-10,4,Partly cloudy
418,2013-01-10,4,Sunny
419,2013-01-29,2,Patchy rain possible
420,2013-01-01,2,Clear
421,2013-01-07,1,Clear
422,2013-01-23,3,Cloudy
423,2013-01-07,1,Sunny
424,2013-01-17,4,Sunny
425,2013-01-08,2,Cloudy
426,2013-01-09,3,Sunny
427,2013-01-10,4,Partly cloudy
428,2013-01-11,5,Patchy rain possible
429,2013-01-12,6,Partly cloudy
430,2013-01-13,7,Overcast
431,2013-01-14,1,Sunny
432,2013-01-15,2,Sunny
433,2013-01-16,3,Sunny
434,2013-01-17,4,Sunny
435,2013-01-18,5,Partly cloudy
436,2013-01-19,6,Cloudy
437,2013-01-03,4,Cloudy
438,2013-01-20,7,Partly cloudy
439,2013-01-21,1,Overcast
440,2013-01-22,2,Sunny
441,2013-01-23,3,Overcast
442,2013-01-24,4,Overcast
443,2013-01-25,5,Light freezing rain
444,2013-01-26,6,Sunny
445,2013-01-27,7,Partly cloudy
446,2013-01-28,1,Patchy rain possible
447,2013-01-29,2,Moderate rain at times
448,2013-01-30,3,Patchy rain possible
449,2013-01-31,4,Overcast
450,2013-01-04,5,Sunny
451,2013-01-04,5,Sunny
452,2013-01-08,2,Sunny
453,2013-01-01,2,Sunny
454,2013-01-02,3,Clear
455,2013-01-11,5,Patchy rain possible
456,2013-01-12,6,Partly cloudy
457,2013-01-13,7,Overcast
458,2013-01-14,1,Sunny
459,2013-01-15,2,Sunny
460,2013-01-16,3,Sunny
461,2013-01-17,4,Sunny
462,2013-01-18,5,Partly cloudy
463,2013-01-19,6,Cloudy
464,2013-01-20,7,Partly cloudy
465,2013-01-21,1,Overcast
466,2013-01-22,2,Sunny
467,2013-01-11,5,Partly cloudy
468,2013-01-01,2,Sunny
469,2013-01-14,1,Sunny
470,2013-01-28,1,Cloudy
471,2013-01-01,2,Sunny
472,2013-01-02,3,Sunny
473,2013-01-03,4,Cloudy
474,2013-01-04,5,Sunny
475,2013-01-05,6,Partly cloudy
476,2013-01-06,7,Overcast
477,2013-01-07,1,Sunny
478,2013-01-08,2,Sunny
479,2013-01-09,3,Sunny
480,2013-01-10,4,Partly cloudy
481,2013-01-11,5,Cloudy
482,2013-01-12,6,Overcast
483,2013-01-13,7,Overcast
484,2013-01-14,1,Sunny
485,2013-01-07,1,Sunny
486,2013-01-07,1,Sunny
487,2013-01-16,3,Sunny
488,2013-01-16,3,Cloudy
489,2013-01-08,2,Sunny
490,2013-01-08,2,Cloudy
491,2013-01-08,2,Partly cloudy
492,2013-01-08,2,Sunny
493,2013-01-08,2,Sunny
494,2013-01-08,2,Partly cloudy
495,2013-01-08,2,Sunny
496,2013-01-08,2,Sunny
497,2013-01-09,3,Sunny
498,2013-01-09,3,Sunny
499,2013-01-09,3,Clear
500,2013-01-09,3,Sunny
501,2013-01-09,3,Sunny
502,2013-01-09,3,Sunny
503,2013-01-10,4,Cloudy
504,2013-01-10,4,Partly cloudy
505,2013-01-10,4,Sunny
506,2013-01-10,4,Moderate rain at times
507,2013-01-10,4,Partly cloudy
508,2013-01-09,3,Sunny
509,2013-01-09,3,Sunny
510,2013-01-09,3,Clear
511,2013-01-09,3,Sunny
512,2013-01-09,3,Sunny
513,2013-01-09,3,Sunny
514,2013-01-08,2,Partly cloudy
515,2013-01-21,1,Overcast
516,2013-01-10,4,Partly cloudy
517,2013-01-10,4,Partly cloudy
518,2013-01-10,4,Sunny
519,2013-01-10,4,Moderate rain at times
520,2013-01-10,4,Cloudy
521,2013-01-10,4,Sunny
522,2013-01-10,4,Partly cloudy
523,2013-01-10,4,Cloudy
524,2013-01-10,4,Partly cloudy
525,2013-01-10,4,Cloudy
526,2013-01-10,4,Sunny
527,2013-01-10,4,Sunny
528,2013-01-10,4,Partly cloudy
529,2013-01-10,4,Moderate rain at times
530,2013-01-11,5,Cloudy
531,2013-01-11,5,Patchy rain possible
532,2013-01-09,3,Sunny
533,2013-01-09,3,Sunny
534,2013-01-09,3,Clear
535,2013-01-09,3,Clear
536,2013-01-11,5,Patchy rain possible
537,2013-01-10,4,Moderate rain at times
538,2013-01-10,4,Sunny
539,2013-01-11,5,Cloudy
540,2013-01-11,5,Cloudy
541,2013-01-11,5,Partly cloudy
542,2013-01-03,4,Cloudy
543,2013-01-03,4,Cloudy
544,2013-01-11,5,Cloudy
545,2013-01-11,5,Cloudy
546,2013-01-11,5,Patchy rain possible
547,2013-01-11,5,Partly cloudy
548,2013-01-11,5,Cloudy
549,2013-01-11,5,Patchy rain possible
550,2013-01-11,5,Patchy rain possible
551,2013-01-11,5,Patchy rain possible
552,2013-01-11,5,Partly cloudy
553,2013-01-11,5,Partly cloudy
554,2013-01-03,4,Overcast
555,2013-01-11,5,Cloudy
556,2013-01-11,5,Patchy rain possible
557,2013-01-03,4,Cloudy
558,2013-01-12,6,Overcast
559,2013-01-12,6,Cloudy
560,2013-01-12,6,Overcast
561,2013-01-12,6,Partly cloudy
562,2013-01-03,4,Overcast
563,2013-01-12,6,Partly cloudy
564,2013-01-12,6,Cloudy
565,2013-01-12,6,Partly cloudy
566,2013-01-12,6,Overcast
567,2013-01-12,6,Cloudy
568,2013-01-12,6,Partly cloudy
569,2013-01-12,6,Partly cloudy
570,2013-01-12,6,Overcast
571,2013-01-13,7,Cloudy
572,2013-01-13,7,Overcast
573,2013-01-13,7,Overcast
574,2013-01-14,1,Sunny
575,2013-01-14,1,Sunny
576,2013-01-14,1,Clear
577,2013-01-14,1,Sunny
578,2013-01-14,1,Sunny
579,2013-01-14,1,Sunny
580,2013-01-13,7,Partly cloudy
581,2013-01-13,7,Overcast
582,2013-01-14,1,Sunny
583,2013-01-13,7,Overcast
584,2013-01-13,7,Overcast
585,2013-01-13,7,Cloudy
586,2013-01-13,7,Clear
587,2013-01-11,5,Cloudy
588,2013-01-11,5,Patchy rain possible
589,2013-01-11,5,Partly cloudy
590,2013-01-11,5,Patchy rain possible
591,2013-01-11,5,Cloudy
592,2013-01-11,5,Patchy rain possible
593,2013-01-14,1,Sunny
594,2013-01-14,1,Sunny
595,2013-01-14,1,Sunny
596,2013-01-14,1,Sunny
597,2013-01-11,5,Cloudy
598,2013-01-11,5,Patchy rain possible
599,2013-01-11,5,Patchy rain possible
600,2013-01-14,1,Sunny
601,2013-01-14,1,Clear
602,2013-01-14,1,Sunny
603,2013-01-14,1,Sunny
604,2013-01-14,1,Sunny
605,2013-01-14,1,Sunny
606,2013-01-11,5,Cloudy
607,2013-01-15,2,Clear
608,2013-01-15,2,Sunny
609,2013-01-15,2,Partly cloudy
610,2013-01-15,2,Sunny
611,2013-01-14,1,Sunny
612,2013-01-14,1,Sunny
613,2013-01-14,1,Sunny
614,2013-01-14,1,Sunny
615,2013-01-15,2,Sunny
616,2013-01-16,3,Overcast
617,2013-01-16,3,Sunny
618,2013-01-16,3,Sunny
619,2013-01-16,3,Sunny
620,2013-01-16,3,Sunny
621,2013-01-18,5,Sunny
622,2013-01-18,5,Partly cloudy
623,2013-01-16,3,Cloudy
624,2013-01-17,4,Sunny
625,2013-01-17,4,Clear
626,2013-01-17,4,Sunny
627,2013-01-17,4,Sunny
628,2013-01-18,5,Clear
629,2013-01-18,5,Clear
630,2013-01-18,5,Partly cloudy
631,2013-01-17,4,Sunny
632,2013-01-19,6,Overcast
633,2013-01-18,5,Partly cloudy
634,2013-01-18,5,Partly cloudy
635,2013-01-18,5,Sunny
636,2013-01-18,5,Partly cloudy
637,2013-01-20,7,Overcast
638,2013-01-20,7,Cloudy
639,2013-01-21,1,Sunny
640,2013-01-21,1,Overcast
641,2013-01-20,7,Overcast
642,2013-01-20,7,Partly cloudy
643,2013-01-15,2,Sunny
644,2013-01-15,2,Sunny
645,2013-01-21,1,Sunny
646,2013-01-21,1,Sunny
647,2013-01-21,1,Overcast
648,2013-01-20,7,Partly cloudy
649,2013-01-20,7,Overcast
650,2013-01-20,7,Clear
651,2013-01-20,7,Clear
652,2013-01-20,7,Cloudy
653,2013-01-20,7,Partly cloudy
654,2013-01-20,7,Overcast
655,2013-01-20,7,Overcast
656,2013-01-20,7,Sunny
657,2013-01-21,1,Overcast
658,2013-01-21,1,Overcast
659,2013-01-21,1,Overcast
660,2013-01-21,1,Overcast
661,2013-01-21,1,Sunny
662,2013-01-21,1,Overcast
663,2013-01-22,2,Sunny
664,2013-01-22,2,Partly cloudy
665,2013-01-22,2,Sunny
666,2013-01-21,1,Overcast
667,2013-01-20,7,Cloudy
668,2013-01-21,1,Overcast
669,2013-01-20,7,Sunny
670,2013-01-05,6,Partly cloudy
671,2013-01-06,7,Partly cloudy
672,2013-01-04,5,Sunny
673,2013-01-04,5,Sunny
674,2013-01-05,6,Partly cloudy
675,2013-01-05,6,Patchy rain possible
676,2013-01-05,6,Partly cloudy
677,2013-01-06,7,Partly cloudy
678,2013-01-06,7,Overcast
679,2013-01-05,6,Partly cloudy
680,2013-01-06,7,Partly cloudy
681,2013-01-05,6,Partly cloudy
682,2013-01-05,6,Patchy rain possible
683,2013-01-05,6,Partly cloudy
684,2013-01-04,5,Sunny
685,2013-01-06,7,Clear
686,2013-01-06,7,Partly cloudy
687,2013-01-06,7,Overcast
688,2013-01-06,7,Partly cloudy
689,2013-01-06,7,Overcast
690,2013-01-05,6,Partly cloudy
691,2013-01-05,6,Partly cloudy
692,2013-01-07,1,Sunny
693,2013-01-07,1,Sunny
694,2013-01-06,7,Overcast
695,2013-01-07,1,Sunny
696,2013-01-06,7,Clear
697,2013-01-07,1,Sunny
698,2013-01-07,1,Sunny
699,2013-01-07,1,Clear
700,2013-01-06,7,Overcast
701,2013-01-06,7,Overcast
702,2013-01-06,7,Clear
703,2013-01-06,7,Overcast
704,2013-01-07,1,Clear
705,2013-01-07,1,Sunny
706,2013-01-07,1,Sunny
707,2013-01-06,7,Partly cloudy
708,2013-01-07,1,Sunny
709,2013-01-07,1,Sunny
710,2013-01-07,1,Sunny
711,2013-01-07,1,Clear
712,2013-01-07,1,Sunny
713,2013-01-07,1,Sunny
714,2013-01-07,1,Sunny
715,2013-01-07,1,Clear
716,2013-01-07,1,Sunny
717,2013-01-07,1,Sunny
718,2013-01-07,1,Sunny
719,2013-01-07,1,Sunny
720,2013-01-07,1,Sunny
721,2013-01-08,2,Sunny
722,2013-01-08,2,Sunny
723,2013-01-08,2,Cloudy
724,2013-01-08,2,Partly cloudy
725,2013-01-08,2,Partly cloudy
726,2013-01-08,2,Sunny
727,2013-01-09,3,Sunny
728,2013-01-09,3,Sunny
729,2013-01-08,2,Partly cloudy
730,2013-01-09,3,Sunny
731,2013-01-09,3,Sunny
732,2013-01-08,2,Cloudy
733,2013-01-08,2,Sunny
734,2013-01-08,2,Sunny
735,2013-01-08,2,Sunny
736,2013-01-08,2,Cloudy
737,2013-01-08,2,Cloudy
738,2013-01-09,3,Sunny
739,2013-01-09,3,Clear
740,2013-01-09,3,Clear
741,2013-01-09,3,Sunny
742,2013-01-09,3,Sunny
743,2013-01-09,3,Sunny
744,2013-01-09,3,Sunny
745,2013-01-08,2,Sunny
746,2013-01-09,3,Sunny
747,2013-01-09,3,Sunny
748,2013-01-09,3,Clear
749,2013-01-09,3,Sunny
750,2013-01-09,3,Sunny
751,2013-01-09,3,Sunny
752,2013-01-10,4,Cloudy
753,2013-01-10,4,Sunny
754,2013-01-09,3,Sunny
755,2013-01-09,3,Sunny
756,2013-01-09,3,Clear
757,2013-01-10,4,Partly cloudy
758,2013-01-10,4,Partly cloudy
759,2013-01-10,4,Sunny
760,2013-01-09,3,Sunny
761,2013-01-22,2,Partly cloudy
762,2013-01-22,2,Sunny
763,2013-01-24,4,Overcast
764,2013-01-24,4,Partly cloudy
765,2013-01-29,2,Moderate or heavy rain shower
766,2013-01-18,5,Sunny
767,2013-01-04,5,Sunny
768,2013-01-05,6,Partly cloudy
769,2013-01-05,6,Patchy rain possible
770,2013-01-07,1,Sunny
771,2013-01-07,1,Sunny
772,2013-01-06,7,Overcast
773,2013-01-06,7,Overcast
774,2013-01-06,7,Partly cloudy
775,2013-01-03,4,Overcast
776,2013-01-10,4,Cloudy
777,2013-01-03,4,Overcast
778,2013-01-02,3,Clear
779,2013-01-08,2,Sunny
780,2013-01-10,4,Cloudy
781,2013-01-05,6,Partly cloudy
782,2013-01-05,6,Cloudy
783,2013-01-03,4,Overcast
784,2013-01-09,3,Sunny
785,2013-01-08,2,Sunny
786,2013-01-12,6,Cloudy
787,2013-01-14,1,Sunny
788,2013-01-25,5,Light freezing rain
789,2013-01-01,2,Sunny
790,2013-01-02,3,Sunny
791,2013-01-03,4,Cloudy
792,2013-01-04,5,Sunny
793,2013-01-31,4,Overcast
794,2013-01-05,6,Partly cloudy
795,2013-01-06,7,Overcast
796,2013-01-07,1,Sunny
797,2013-01-08,2,Sunny
798,2013-01-09,3,Sunny
799,2013-01-10,4,Partly cloudy
800,2013-01-18,5,Partly cloudy
801,2013-01-06,7,Partly cloudy
802,2013-01-10,4,Partly cloudy
803,2013-01-10,4,Sunny
804,2013-01-10,4,Cloudy
805,2013-01-10,4,Sunny
806,2013-01-10,4,Partly cloudy
807,2013-01-10,4,Sunny
808,2013-01-11,5,Patchy rain possible
809,2013-01-01,2,Cloudy
810,2013-01-02,3,Sunny
811,2013-01-03,4,Overcast
812,2013-01-04,5,Sunny
813,2013-01-05,6,Partly cloudy
814,2013-01-06,7,Overcast
815,2013-01-07,1,Sunny
816,2013-01-08,2,Sunny
817,2013-01-09,3,Sunny
818,2013-01-10,4,Sunny
