id,Durations,Distance,Latitude,Longitude,cluster,location_demand,wealth_index,availability,cost_efficiency,wait_time
36146,35.37,28.62005,41.89960211,-87.63330804,5,6.48683440608543,11.164797074166797,True,0.7184076872683032,9.788947730166402
36147,31.39816666666667,24.98866,41.9442266,-87.65599818,4,6.48683440608543,11.164797074166795,True,0.5818853121789804,7.056873869304661
36160,27.154333333333334,20.923599999999997,41.97517094,-87.68751552,3,6.48683440608543,11.164797074166797,True,0.7792344668255637,6.685102800004291
36170,31.98966666666667,25.24657,41.90120699,-87.67635599,4,6.48683440608543,11.164797074166795,True,0.7169812734618345,8.655671263104887
36171,31.98966666666667,25.24657,41.90120699,-87.67635599,4,6.48683440608543,11.164797074166797,False,0.663340793144765,4.32290696237717
36180,35.501666666666665,28.65362,41.87925508,-87.642649,5,6.48683440608543,11.164797074166795,True,0.8272886532768141,10.658951755725903
36182,36.195,29.13379,41.89250778,-87.62621491,5,6.48683440608543,11.164797074166797,True,0.692344320348096,6.296181864003449
36192,49.150333333333336,48.84167,41.78599852,-87.75093429,5,6.48683440608543,11.164797074166795,True,0.5485503740120072,8.716738177207013
36195,31.39816666666667,24.98866,41.9442266,-87.65599818,4,6.48683440608543,11.164797074166797,False,0.665350982196747,9.90544316671647
36203,31.229333333333333,25.03569,41.91474731,-87.65400703,4,6.48683440608543,11.164797074166795,True,0.6035988864482265,9.313093159450425
36207,35.37,28.62005,41.89960211,-87.63330804,5,6.48683440608543,11.164797074166797,True,0.5736197708455704,6.14980693065859
36213,36.06933333333333,28.9086,41.89207264,-87.62887416,5,6.48683440608543,11.164797074166795,False,0.6453114063467267,6.38174614835696
36218,27.747,20.637970000000003,42.00157103,-87.69501259,3,6.48683440608543,11.164797074166797,True,0.610662395083549,6.814146064151214
36223,30.898500000000002,25.411759999999997,41.92268628,-87.64948873,4,6.48683440608543,11.164797074166795,True,0.5477384014793738,8.51911437256959
36229,31.39816666666667,24.98866,41.9442266,-87.65599818,4,6.48683440608543,11.164797074166797,True,0.6355996210376613,7.83545505868378
36233,36.06933333333333,28.9086,41.89207264,-87.62887416,5,6.48683440608543,11.164797074166795,True,0.6263115399702424,6.2834400339195575
36240,38.2365,30.7545,41.87886558,-87.62519214,5,6.48683440608543,11.164797074166797,False,0.6001260533858794,6.435849972977633
36243,31.98966666666667,25.24657,41.90120699,-87.67635599,4,6.48683440608543,11.164797074166795,True,0.5879686258037243,4.742357880359223
36251,49.150333333333336,48.84167,41.78599852,-87.75093429,5,6.48683440608543,11.164797074166797,True,0.5789528944615034,8.102969719014125
36253,35.501666666666665,28.65362,41.87925508,-87.642649,5,6.48683440608543,11.164797074166795,True,0.6630544662063204,7.242002079507439
36262,38.560833333333335,31.20391,41.87400538,-87.66351755,5,6.48683440608543,11.164797074166797,False,0.7610735405018647,7.95230450229995
36264,39.26316666666666,31.261860000000002,41.87740612,-87.62197165,5,6.48683440608543,11.164797074166795,True,0.5409214098225613,7.194180977949163
36274,35.501666666666665,28.65362,41.87925508,-87.642649,5,6.48683440608543,11.164797074166797,False,0.7274514123008325,6.109470897136264
36286,44.24733333333334,35.04195,41.83511799,-87.61867777,5,6.48683440608543,11.164797074166795,True,0.7583231110150769,6.667890571866483
36287,35.501666666666665,28.65362,41.87925508,-87.642649,5,6.48683440608543,11.164797074166797,True,0.6695759183456529,8.883853370909454
36299,6.0215000000000005,1.9944300000000001,41.97907082,-87.90303966,0,6.48683440608543,11.164797074166795,False,0.6292863004231397,9.209876647311011
36302,35.37,28.62005,41.89960211,-87.63330804,5,6.48683440608543,11.164797074166797,False,0.6754583707945713,6.685096791573452
36310,49.150333333333336,48.84167,41.78599852,-87.75093429,5,6.48683440608543,11.164797074166795,True,0.7082626183512847,6.647889212797535
